,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
128,id5085,all cells use cellular respiration to,photosynthesizeSALILSPLITCHECKrelease waste (correct)SALILSPLITCHECKperform meiosisSALILSPLITCHECKrelease energy, D,0.0, D,0.0,D,0.0, D,0.0, D,0.0, D,0.0, D,0.0,D,0.0,D,0.0,D,0.0,D,0.0,D,0.0,D,0.0, D,0.0, D,0.0, D,0.0, D,0.0,D,0.0, B,1.0, D,0.0, D,0.0,D,0.0,D,0.0,D,0.0, B,1.0,D,0.0, A,0.0, D,0.0,D,0.0,D,0.0,0.2537081317024625,Medium
158,id5115,Where water be located in its gas form?,inside a disc golf driverSALILSPLITCHECKinside of a brass pipeSALILSPLITCHECKa mile up in the sky (correct)SALILSPLITCHECKinside a leather baseball, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, B,0.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,0.2537081317024625,Medium
492,id5449,"A meadow vole just gave birth, and needs to feed herself so that she can produce milk for her babies. She searches for food in a field, and happily munches down on some",oilSALILSPLITCHECKdeerSALILSPLITCHECKbugs (correct)SALILSPLITCHECKrecycled plastic fruit, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,0.2537081317024625,Medium
486,id5443,"if a student wants an orange, he would have to get it from which of these?",from a live cowSALILSPLITCHECKfrom a live plant (correct)SALILSPLITCHECKfrom a volcano caveSALILSPLITCHECKfrom a wild dog, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, A,0.0, B,1.0,B,1.0, C,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
123,id5080,What does someone do when creating music?,hit a toy baseball with a batSALILSPLITCHECKshake a baby rattle with your handSALILSPLITCHECKbang the wall with your fistSALILSPLITCHECKpluck the strings of a fingerboard with your fingers (correct), D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, C,0.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, D,1.0,D,1.0, B,0.0, D,1.0,D,1.0,D,1.0,0.2537081317024625,Medium
110,id5067,A seismograph can accurately describe,how rough the footing will beSALILSPLITCHECKhow bad the weather will beSALILSPLITCHECKhow stable the ground will be (correct)SALILSPLITCHECKhow shaky the horse will be, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,0.2537081317024625,Medium
483,id5440,"A pot of pasta is boiling on the stove, and the lid on top of the pot is shaking as the water boils more rapidly. A person goes to the stove and removes the pot, releasing steam into the air above, and so the steam is",cold airSALILSPLITCHECKwater vapor (correct)SALILSPLITCHECKvery drySALILSPLITCHECKboiling water, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, A,0.0, B,1.0,B,1.0, C,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
171,id5128,The boy was able to warm the fireplace without a lighter thanks to what?,friction (correct)SALILSPLITCHECKmetalSALILSPLITCHECKwishingSALILSPLITCHECKmagic, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0, B,0.0,A,1.0, D,0.0, A,1.0,A,1.0,A,1.0,0.2537081317024625,Medium
58,id5015,Owls are likely to hunt at,3pmSALILSPLITCHECK2am (correct)SALILSPLITCHECK6pmSALILSPLITCHECK7am, B,1.0, B,1.0,B,1.0, B,1.0, D,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, C,0.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
57,id5014,"A construction group wants to put a shopping center in town, but the only place available is a small nature park with a trail. Deer and other wildlife frequent the park, since it is the only place in the city where trees and fresh water are available for them. The construction group decides to build the shopping center, which means that",the deer are moved to a zooSALILSPLITCHECKthe trail is expandedSALILSPLITCHECKthe mall has a nature park in itSALILSPLITCHECKthe wildlife environment is destroyed (correct), D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, C,0.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,0.2537081317024625,Medium
182,id5139,"The Grand Canyon is massive, with large, high peaks and very deep lows, which was formed when",some water is around itSALILSPLITCHECKwater rained on itSALILSPLITCHECKnatural waters weathered it (correct)SALILSPLITCHECKa pool was opened, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,0.2537081317024625,Medium
286,id5243,Coral grows in,frigid watersSALILSPLITCHECKtepid seas (correct)SALILSPLITCHECKglacial environmentsSALILSPLITCHECKjungle forests, B,1.0, B,1.0,B,1.0, B,1.0, C,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, D,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
113,id5070,Banging on a drum causes,music to be loudSALILSPLITCHECKmusic to be appealingSALILSPLITCHECKreverberations to strike the eardrum (correct)SALILSPLITCHECKconcerts to sell out, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, D,0.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,0.2537081317024625,Medium
64,id5021,Mosquitoes enjoy all the people at a BBQ in the summer for what reason?,steakSALILSPLITCHECKblood (correct)SALILSPLITCHECKnice weatherSALILSPLITCHECKtaking food, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, C,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
372,id5329,An ideal abode for crickets is,a small potted plant in a houseSALILSPLITCHECKa green and lush tree and plant packed area (correct)SALILSPLITCHECKa briny and warm body of waterSALILSPLITCHECKa area surrounded by spider webs, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,D,0.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, A,0.0, C,0.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.3051285766293645,Low
0,id4957,"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to",make more phone callsSALILSPLITCHECKquit eating lunch out (correct)SALILSPLITCHECKbuy less with monopoly moneySALILSPLITCHECKhave lunch with friends, B,1.0, B,1.0,B,1.0, B,1.0, D,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, C,0.0, B,1.0,B,1.0, A,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.30512857662936455,Low
383,id5340,Two fridge decorations when touched back to back,shove each other away (correct)SALILSPLITCHECKare attracted to each otherSALILSPLITCHECKhave very little reactionSALILSPLITCHECKare reflective when together, B,0.0, B,0.0,B,0.0, C,0.0, B,0.0, C,0.0, A,1.0,B,0.0,B,0.0,C,0.0,C,0.0,B,0.0,B,0.0, B,0.0, B,0.0, A,1.0, A,1.0,B,0.0, B,0.0, B,0.0, B,0.0,C,0.0,B,0.0,B,0.0, B,0.0,B,0.0, D,0.0, C,0.0,B,0.0,B,0.0,0.30512857662936455,Low
326,id5283,A light was off because the cord was,sitting on the table (correct)SALILSPLITCHECKattached to the wallSALILSPLITCHECKattached to an extension cordSALILSPLITCHECKattached to a battery pack, B,0.0, D,0.0,B,0.0, B,0.0, D,0.0, C,0.0, A,1.0,D,0.0,D,0.0,C,0.0,B,0.0,D,0.0,D,0.0, D,0.0, D,0.0, C,0.0, A,1.0,B,0.0, B,0.0, B,0.0, B,0.0,A,1.0,D,0.0,B,0.0, B,0.0,C,0.0, C,0.0, C,0.0,B,0.0,C,0.0,0.3051285766293646,Low
214,id5171,"a large cluster of humans, dogs, apple trees, atmosphere and more can be called",army of antsSALILSPLITCHECKa community (correct)SALILSPLITCHECKa toy storeSALILSPLITCHECKa shopping mall, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, C,0.0, B,1.0,B,1.0, D,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,0.30512857662936466,Low
289,id5246,Building new areas to dispose of refuse may lead to,community concerns over environmental impact (correct)SALILSPLITCHECKbetter air and soil qualitySALILSPLITCHECKhigher value on land parcelsSALILSPLITCHECKimprovement in water supply, A,1.0, A,1.0,A,1.0, A,1.0, B,0.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, B,0.0,A,1.0,A,1.0,A,1.0, B,0.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,0.30512857662936466,Low
129,id5086,The viewing oriented sensor of a prairie creature are for what?,reproductive purposesSALILSPLITCHECKviewing soundsSALILSPLITCHECKsensing views (correct)SALILSPLITCHECKsensing tastes, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, B,0.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,0.30512857662936466,Low
165,id5122,why do tadpoles change into frogs?,tadpoles change to different animalsSALILSPLITCHECKtadpoles are really just fishSALILSPLITCHECKthey are young frogs still growing (correct)SALILSPLITCHECKnone of these, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, D,0.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, A,0.0,C,1.0, D,0.0, C,1.0,C,1.0,C,1.0,0.30512857662936466,Low
288,id5245,"A deer is eating in a field, and wants more food. Regardless of how hard the deer tries, the deer is unable to produce",longer antlersSALILSPLITCHECKfood for itself (correct)SALILSPLITCHECKbaby deerSALILSPLITCHECKurine, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, D,0.0, B,1.0, B,1.0,A,0.0,B,1.0,B,1.0, B,1.0,B,1.0, C,0.0, B,1.0,B,1.0,B,1.0,0.30512857662936466,Low
