,instance_id,input.text,references,predicted_text_0,stats.quasi_exact_match_0,predicted_text_1,stats.quasi_exact_match_1,predicted_text_2,stats.quasi_exact_match_2,predicted_text_3,stats.quasi_exact_match_3,predicted_text_4,stats.quasi_exact_match_4,predicted_text_5,stats.quasi_exact_match_5,predicted_text_6,stats.quasi_exact_match_6,predicted_text_7,stats.quasi_exact_match_7,predicted_text_8,stats.quasi_exact_match_8,predicted_text_9,stats.quasi_exact_match_9,predicted_text_10,stats.quasi_exact_match_10,predicted_text_11,stats.quasi_exact_match_11,predicted_text_12,stats.quasi_exact_match_12,predicted_text_13,stats.quasi_exact_match_13,predicted_text_14,stats.quasi_exact_match_14,predicted_text_15,stats.quasi_exact_match_15,predicted_text_16,stats.quasi_exact_match_16,predicted_text_17,stats.quasi_exact_match_17,predicted_text_18,stats.quasi_exact_match_18,predicted_text_19,stats.quasi_exact_match_19,predicted_text_20,stats.quasi_exact_match_20,predicted_text_21,stats.quasi_exact_match_21,predicted_text_22,stats.quasi_exact_match_22,predicted_text_23,stats.quasi_exact_match_23,predicted_text_24,stats.quasi_exact_match_24,predicted_text_25,stats.quasi_exact_match_25,predicted_text_26,stats.quasi_exact_match_26,predicted_text_27,stats.quasi_exact_match_27,predicted_text_28,stats.quasi_exact_match_28,predicted_text_29,stats.quasi_exact_match_29,std,agreement_level
43,id52,"Description: The mark ""KitchenAid"" for baking appliances.",suggestive (correct), arbitrary,0.0,fanciful,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, suggestive/fanciful ,0.0, suggestive,1.0,fanciful,0.0,arbitrary,0.0,descriptive,0.0, fanciful,0.0, descriptive,0.0, suggestive,1.0, descriptive,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,fanciful,0.0, suggestive,1.0,arbitrary,0.0,fanciful,0.0, arbitrary,0.0,Type: suggestive,0.0,arbitrary,0.0, arbitrary,0.0, fanciful,0.0,0.3457459036417605,Low
0,id10,"Description: The mark ""Mask"" for cloth that you wear on your face to filter air.",generic (correct), suggestive,0.0,descriptive,0.0,descriptive,0.0,arbitrary,0.0, generic,1.0,descriptive,0.0, descriptive,0.0,descriptive,0.0, suggestive,0.0, suggestive,0.0,generic,1.0,descriptive,0.0,descriptive,0.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0, descriptive,0.0, arbitrary,0.0, arbitrary,0.0,arbitrary,0.0,descriptive,0.0, generic,1.0,descriptive,0.0,descriptive,0.0, arbitrary,0.0,Type: generic,0.0,suggestive,0.0, fanciful,0.0, descriptive,0.0,0.3457459036417605,Low
20,id30,"Description: The mark ""Holiday Inn"" for hotel services.",descriptive (correct), suggestive,0.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,0.0, descriptive,1.0,arbitrary,0.0, arbitrary ,0.0, suggestive,0.0,fanciful,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0, descriptive,1.0, arbitrary,0.0, descriptive,1.0, arbitrary,0.0, generic,0.0, descriptive,1.0,arbitrary,0.0,arbitrary,0.0, suggestive,0.0,suggestive,0.0,suggestive,0.0, arbitrary,0.0,Type: arbitrary,0.0,suggestive,0.0, fanciful,0.0, arbitrary,0.0,0.3457459036417605,Low
61,id69,"Description: The mark ""Cheetah"" for a web browser.",suggestive (correct), arbitrary,0.0,arbitrary,0.0,suggestive,1.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0, fanciful,0.0,arbitrary,0.0, suggestive ,1.0, suggestive,1.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, fanciful,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0,fanciful,0.0, arbitrary,0.0,Type: arbitrary,0.0,arbitrary,0.0, fanciful,0.0, arbitrary,0.0,0.3790490217894516,Low
4,id14,"Description: The mark ""Monitor"" for a digital display.",generic (correct), suggestive,0.0,descriptive,0.0,generic,1.0,arbitrary,0.0, suggestive,0.0,generic,1.0, arbitrary,0.0,descriptive,0.0, arbitrary ,0.0, suggestive,0.0,generic,1.0,descriptive,0.0,descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0,arbitrary,0.0,descriptive,0.0, generic,1.0,descriptive,0.0,descriptive,0.0, arbitrary,0.0,descriptive,0.0,suggestive,0.0, arbitrary,0.0, arbitrary,0.0,0.3790490217894516,Low
46,id55,"Description: The mark ""CarMax"" for a used car dealership.",suggestive (correct), suggestive,1.0,fanciful,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, arbitrary ,0.0, suggestive,1.0,fanciful,0.0,arbitrary,0.0,suggestive,1.0, arbitrary,0.0, descriptive,0.0, arbitrary,0.0, descriptive,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,suggestive,1.0, arbitrary,0.0,arbitrary,0.0,fanciful,0.0, arbitrary,0.0,Type: suggestive,0.0,suggestive,1.0, fanciful,0.0, arbitrary,0.0,0.4068381021724863,Low
50,id59,"Description: The mark ""Seventeen"" for magazines targeted at teenagers.",suggestive (correct), arbitrary,0.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, suggestive,1.0, arbitrary,0.0,arbitrary,0.0,arbitrary,0.0,suggestive,1.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, suggestive,1.0,suggestive,1.0,arbitrary,0.0, arbitrary,0.0,Type: suggestive,0.0,arbitrary,0.0, suggestive,1.0, arbitrary,0.0,0.4068381021724863,Low
67,id74,"Description: The mark ""Amazon"" for an online shopping service.",arbitrary (correct), arbitrary,1.0,arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,arbitrary,1.0, arbitrary ,1.0, arbitrary,1.0,fanciful,0.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0, descriptive,0.0, arbitrary,1.0, arbitrary,1.0, arbitrary,1.0, arbitrary,1.0, descriptive,0.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,suggestive,0.0,arbitrary,1.0, arbitrary,1.0,Type: arbitrary,0.0,arbitrary,1.0, suggestive,0.0, arbitrary,1.0,0.4068381021724863,Low
73,id8,"Description: The mark ""Food"" for a restaurant.",generic (correct), generic,1.0,generic,1.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0, generic,1.0,generic,1.0, generic ,1.0, generic,1.0,generic,1.0,generic,1.0,generic,1.0, generic,1.0, descriptive,0.0, generic,1.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0,descriptive,0.0, generic,1.0, descriptive,0.0,0.4068381021724863,Low
33,id43,"Description: The mark ""Chicken of the Sea"" for canned fish.",suggestive (correct), suggestive,1.0,fanciful,0.0,descriptive,0.0,slogan,0.0, fanciful,0.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, generic ,0.0, suggestive,1.0,fanciful,0.0,suggestive,1.0,suggestive,1.0, fanciful,0.0, descriptive,0.0, fanciful,0.0, fanciful,0.0, descriptive,0.0, generic,0.0, descriptive,0.0,generic,0.0,arbitrary,0.0, fanciful,0.0,descriptive,0.0,fanciful,0.0, fanciful,0.0,Type: suggestive,0.0,suggestive,1.0, generic,0.0, fanciful,0.0,0.4068381021724863,Low
74,id80,"Description: The mark ""Fever"" for washing detergent.",arbitrary (correct), suggestive,0.0,suggestive,0.0,suggestive,0.0,arbitrary,1.0, arbitrary,1.0,suggestive,0.0, descriptive,0.0,suggestive,0.0, arbitrary ,1.0, suggestive,0.0,suggestive,0.0,suggestive,0.0,arbitrary,1.0, descriptive,0.0, descriptive,0.0, suggestive,0.0, descriptive,0.0, suggestive,0.0, arbitrary,1.0, descriptive,0.0,arbitrary,1.0,suggestive,0.0, suggestive,0.0,suggestive,0.0,suggestive,0.0, fanciful,0.0,Type: arbitrary,0.0,suggestive,0.0, suggestive,0.0, suggestive,0.0,0.4068381021724863,Low
26,id36,"Description: The mark ""Best Washing"" for a laundromat.",descriptive (correct), descriptive,1.0,descriptive,1.0,descriptive,1.0,arbitrary,0.0, suggestive,0.0,descriptive,1.0, descriptive,1.0,descriptive,1.0, arbitrary ,0.0, suggestive,0.0,descriptive,1.0,descriptive,1.0,descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0,generic,0.0,descriptive,1.0, descriptive,1.0,descriptive,1.0,descriptive,1.0, descriptive,1.0,descriptive,1.0,descriptive,1.0, suggestive,0.0, descriptive,1.0,0.4068381021724863,Low
47,id56,"Description: The mark ""Equine Technologies"" for horse hoof pads.",suggestive (correct), arbitrary,0.0,descriptive,0.0,descriptive,0.0,arbitrary,0.0, suggestive,1.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, suggestive,1.0, suggestive,1.0,arbitrary,0.0,descriptive,0.0,descriptive,0.0, suggestive,1.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0,arbitrary,0.0,descriptive,0.0, descriptive,0.0,descriptive,0.0,descriptive,0.0, fanciful,0.0,Type: descriptive,0.0,suggestive,1.0, arbitrary,0.0, fanciful,0.0,0.4068381021724863,Low
10,id20,"Description: The mark ""Fruit"" for apples.",generic (correct), generic,1.0,generic,1.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0, generic,1.0,generic,1.0, generic ,1.0, suggestive,0.0,generic,1.0,generic,1.0,generic,1.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0, generic,1.0, generic,1.0, descriptive,0.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0,generic,1.0, generic,1.0,Type: generic,0.0,generic,1.0, generic,1.0, generic,1.0,0.4068381021724863,Low
42,id51,"Description: The mark ""Citibank"" for urban financial services.",suggestive (correct), suggestive,1.0,fanciful,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, arbitrary ,0.0, arbitrary,0.0,arbitrary,0.0,arbitrary,0.0,suggestive,1.0, arbitrary,0.0, descriptive,0.0, suggestive,1.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,fanciful,0.0, suggestive,1.0,arbitrary,0.0,suggestive,1.0, arbitrary,0.0,Type: arbitrary,0.0,suggestive,1.0, arbitrary,0.0, arbitrary,0.0,0.40683810217248634,Low
56,id64,"Description: The mark ""Lotus"" for software.",arbitrary (correct), arbitrary,1.0,arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,fanciful,0.0, arbitrary,1.0,arbitrary,1.0, suggestive ,0.0, suggestive,0.0,arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0, descriptive,0.0, arbitrary,1.0, fanciful,0.0, fanciful,0.0, arbitrary,1.0, descriptive,0.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0, arbitrary,1.0,0.4301830671520762,Low
14,id24,Description: The mark “Sharp” for a television.,descriptive (correct), arbitrary,0.0,descriptive,1.0,suggestive,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, descriptive,1.0,suggestive,0.0, suggestive ,0.0, suggestive,0.0,arbitrary,0.0,arbitrary,0.0,suggestive,0.0, arbitrary,0.0, descriptive,1.0, suggestive,0.0, descriptive,1.0, descriptive,1.0, arbitrary,0.0, descriptive,1.0,arbitrary,0.0,descriptive,1.0, suggestive,0.0,suggestive,0.0,suggestive,0.0, arbitrary,0.0,Type: suggestive,0.0,arbitrary,0.0, suggestive,0.0, suggestive,0.0,0.4301830671520762,Low
82,id88,"Description: The mark ""Yoddles"" for a chocolate candy.",fanciful (correct), fanciful,1.0,fanciful,1.0,fanciful,1.0,fanciful,1.0, fanciful,1.0,fanciful,1.0, descriptive,0.0,fanciful,1.0, arbitrary ,0.0, fanciful,1.0,fanciful,1.0,arbitrary,0.0,fanciful,1.0, fanciful,1.0, descriptive,0.0, fanciful,1.0, fanciful,1.0, fanciful,1.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,fanciful,1.0, fanciful,1.0,fanciful,1.0,fanciful,1.0, fanciful,1.0,fanciful,1.0,fanciful,1.0, fanciful,1.0, fanciful,1.0,0.43018306715207627,Low
62,id7,"Description: The mark ""Telephone"" for a portable device you can use to call people.",generic (correct), generic,1.0,generic,1.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0, generic,1.0,generic,1.0, arbitrary ,0.0, generic,1.0,generic,1.0,generic,1.0,generic,1.0, generic,1.0, descriptive,0.0, generic,1.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0,arbitrary,0.0,generic,1.0, generic,1.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0,generic,1.0, generic,1.0, descriptive,0.0,0.43018306715207627,Low
41,id50,"Description: The mark ""Greyhound"" for a high speed bus service.",suggestive (correct), suggestive,1.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, suggestive,1.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, suggestive ,1.0, arbitrary,0.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0, descriptive,0.0, suggestive,1.0, descriptive,0.0, arbitrary,0.0, descriptive,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, suggestive,1.0,descriptive,0.0,arbitrary,0.0, generic,0.0,Type: arbitrary,0.0,suggestive,1.0, fanciful,0.0, arbitrary,0.0,0.43018306715207627,Low
21,id31,"Description: The mark ""Soft"" for pillows.",descriptive (correct), descriptive,1.0,descriptive,1.0,descriptive,1.0,descriptive,1.0," Description: The mark ""Soft"" for pillows.",0.0,descriptive,1.0, descriptive,1.0,descriptive,1.0, arbitrary ,0.0, suggestive,0.0,descriptive,1.0,descriptive,1.0,descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0,arbitrary,0.0,descriptive,1.0, descriptive,1.0,descriptive,1.0,descriptive,1.0, descriptive,1.0,Type: descriptive,0.0,descriptive,1.0, suggestive,0.0, suggestive,0.0,0.4301830671520764,Low
17,id27,"Description: The mark ""Cold and Creamy"" for ice cream desserts.",descriptive (correct), descriptive,1.0,descriptive,1.0,descriptive,1.0,suggestive,0.0, descriptive,1.0,descriptive,1.0, descriptive,1.0,descriptive,1.0, suggestive ,0.0, suggestive,0.0,suggestive,0.0,descriptive,1.0,descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0,arbitrary,0.0,descriptive,1.0, descriptive,1.0,descriptive,1.0,descriptive,1.0, descriptive,1.0,descriptive,1.0,suggestive,0.0, suggestive,0.0, descriptive,1.0,0.4301830671520764,Low
12,id22,"Description: The mark ""Cables"" for electronic wires.",generic (correct), descriptive,0.0,descriptive,0.0,descriptive,0.0,arbitrary,0.0, generic,1.0,generic,1.0, descriptive,0.0,generic,1.0, arbitrary ,0.0, suggestive,0.0,generic,1.0,descriptive,0.0,generic,1.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0, descriptive,0.0, descriptive,0.0, descriptive,0.0,arbitrary,0.0,descriptive,0.0, generic,1.0,descriptive,0.0,descriptive,0.0, descriptive,0.0,Type: generic,0.0,descriptive,0.0, generic,1.0, descriptive,0.0,0.4497764451088035,Low
3,id13,"Description: The mark ""Watch"" for an Apple smartwatch.",generic (correct), fanciful,0.0,descriptive,0.0,generic,1.0,arbitrary,0.0, generic,1.0,generic,1.0, arbitrary,0.0,generic,1.0, suggestive,0.0, suggestive,0.0,generic,1.0,descriptive,0.0,descriptive,0.0, arbitrary,0.0, descriptive,0.0, generic,1.0, descriptive,0.0, descriptive,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, generic,1.0,descriptive,0.0,generic,1.0, arbitrary,0.0,Type: descriptive,0.0,suggestive,0.0, arbitrary,0.0, arbitrary,0.0,0.4497764451088035,Low
31,id41,"Description: The mark ""Unique Haircuts"" for a hair salon.",descriptive (correct), descriptive,1.0,descriptive,1.0,descriptive,1.0,descriptive,1.0, suggestive,0.0,descriptive,1.0, descriptive,1.0,descriptive,1.0, suggestive,0.0, suggestive,0.0,descriptive,1.0,descriptive,1.0,descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0, descriptive,1.0,arbitrary,0.0,descriptive,1.0, descriptive,1.0,descriptive,1.0,descriptive,1.0, fanciful,0.0,Type: descriptive,0.0,suggestive,0.0, suggestive,0.0, descriptive,1.0,0.44977644510880355,Low
93,id98,"Description: The mark ""Vit"" for a video conferencing service.",fanciful (correct), arbitrary,0.0,fanciful,1.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,fanciful,1.0, suggestive ,0.0, suggestive,0.0,arbitrary,0.0,arbitrary,0.0,fanciful,1.0, fanciful,1.0, descriptive,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0,fanciful,1.0, arbitrary,0.0,fanciful,1.0,fanciful,1.0, suggestive,0.0, fanciful,1.0,0.44977644510880366,Low
83,id89,"Description: The mark ""Heullga"" for a line of waterbottles.",fanciful (correct), fanciful,1.0,fanciful,1.0,fanciful,1.0,fanciful,1.0, fanciful,1.0,fanciful,1.0, descriptive,0.0,fanciful,1.0, arbitrary ,0.0, fanciful,1.0,fanciful,1.0,arbitrary,0.0,fanciful,1.0, fanciful,1.0, descriptive,0.0, fanciful,1.0, fanciful,1.0, fanciful,1.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,fanciful,1.0, fanciful,1.0,fanciful,1.0,fanciful,1.0, fanciful,1.0,fanciful,1.0,fanciful,1.0, arbitrary,0.0, fanciful,1.0,0.4497764451088037,Low
84,id9,"Description: The mark ""Kerosene"" for packages of flammable liquids used to start fires.",generic (correct), generic,1.0,generic,1.0,generic,1.0,arbitrary,0.0, generic,1.0,generic,1.0, descriptive,0.0,generic,1.0, arbitrary ,0.0, generic,1.0,generic,1.0,generic,1.0,generic,1.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0,generic,1.0, generic,1.0,generic,1.0,generic,1.0, generic,1.0, generic,1.0,0.44977644510880377,Low
