,instance_id,input.text,predicted_text_0,stats.exact_match_0,num_words_0,predicted_text_1,stats.exact_match_1,num_words_1,predicted_text_2,stats.exact_match_2,num_words_2,predicted_text_3,stats.exact_match_3,num_words_3,predicted_text_4,stats.exact_match_4,num_words_4,predicted_text_5,stats.exact_match_5,num_words_5,predicted_text_6,stats.exact_match_6,num_words_6,predicted_text_7,stats.exact_match_7,num_words_7,predicted_text_8,stats.exact_match_8,num_words_8,predicted_text_9,stats.exact_match_9,num_words_9,predicted_text_10,stats.exact_match_10,num_words_10,predicted_text_11,stats.exact_match_11,num_words_11,predicted_text_12,stats.exact_match_12,num_words_12,predicted_text_13,stats.exact_match_13,num_words_13,predicted_text_14,stats.exact_match_14,num_words_14,predicted_text_15,stats.exact_match_15,num_words_15,predicted_text_16,stats.exact_match_16,num_words_16,predicted_text_17,stats.exact_match_17,num_words_17,predicted_text_18,stats.exact_match_18,num_words_18,predicted_text_19,stats.exact_match_19,num_words_19,predicted_text_20,stats.exact_match_20,num_words_20,predicted_text_21,stats.exact_match_21,num_words_21,predicted_text_22,stats.exact_match_22,num_words_22,predicted_text_23,stats.exact_match_23,num_words_23,predicted_text_24,stats.exact_match_24,num_words_24,predicted_text_25,stats.exact_match_25,num_words_25,predicted_text_26,stats.exact_match_26,num_words_26,predicted_text_27,stats.exact_match_27,num_words_27,predicted_text_28,stats.exact_match_28,num_words_28,predicted_text_29,stats.exact_match_29,num_words_29,std,agreement_level
218,id5175,"A male bird spots a female of his species and begins a fancy dance, flashing his bright feathers around in the air, showing off. This male is attempting to procure", D,1.0,31, D,1.0,31,D,1.0,31, D,1.0,31, D,1.0,31, D,1.0,31, D,1.0,31,D,1.0,31,D,1.0,31,D,1.0,31,D,1.0,31,D,1.0,31,D,1.0,31, D,1.0,31, D,1.0,31, B,0.0,31, D,1.0,31,D,1.0,31, D,1.0,31, D,1.0,31, D,1.0,31,D,1.0,31,D,1.0,31,D,1.0,31, B,0.0,31,D,1.0,31, D,1.0,31, D,1.0,31,D,1.0,31,D,1.0,31,0.2537081317024625,Medium
186,id5143,What is a stopwatch used for?, D,1.0,7, D,1.0,7,D,1.0,7, D,1.0,7, B,0.0,7, D,1.0,7, D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7, D,1.0,7, D,1.0,7, D,1.0,7, D,1.0,7,D,1.0,7, D,1.0,7, D,1.0,7, D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7, B,0.0,7,D,1.0,7, D,1.0,7, D,1.0,7,D,1.0,7,D,1.0,7,0.2537081317024625,Medium
317,id5274,A bat starts its life similarly to a, C,0.0,9, C,0.0,9,A,0.0,9, C,0.0,9, D,0.0,9, C,0.0,9, C,0.0,9,A,0.0,9,B,1.0,9,C,0.0,9,C,0.0,9,C,0.0,9,A,0.0,9, C,0.0,9, C,0.0,9, D,0.0,9, C,0.0,9,C,0.0,9, A,0.0,9, C,0.0,9, D,0.0,9,A,0.0,9,A,0.0,9,A,0.0,9, B,1.0,9,C,0.0,9, D,0.0,9, C,0.0,9,C,0.0,9,C,0.0,9,0.2537081317024625,Medium
128,id5085,all cells use cellular respiration to, D,0.0,7, D,0.0,7,D,0.0,7, D,0.0,7, D,0.0,7, D,0.0,7, D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7, D,0.0,7, D,0.0,7, D,0.0,7, D,0.0,7,D,0.0,7, B,1.0,7, D,0.0,7, D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7, B,1.0,7,D,0.0,7, A,0.0,7, D,0.0,7,D,0.0,7,D,0.0,7,0.2537081317024625,Medium
158,id5115,Where water be located in its gas form?, C,1.0,9, C,1.0,9,C,1.0,9, C,1.0,9, C,1.0,9, C,1.0,9, C,1.0,9,C,1.0,9,C,1.0,9,C,1.0,9,C,1.0,9,C,1.0,9,C,1.0,9, C,1.0,9, C,1.0,9, B,0.0,9, C,1.0,9,C,1.0,9, C,1.0,9, C,1.0,9, C,1.0,9,C,1.0,9,C,1.0,9,C,1.0,9, B,0.0,9,C,1.0,9, C,1.0,9, C,1.0,9,C,1.0,9,C,1.0,9,0.2537081317024625,Medium
492,id5449,"A meadow vole just gave birth, and needs to feed herself so that she can produce milk for her babies. She searches for food in a field, and happily munches down on some", C,1.0,34, C,1.0,34,C,1.0,34, C,1.0,34, C,1.0,34, C,1.0,34, C,1.0,34,C,1.0,34,C,1.0,34,C,1.0,34,C,1.0,34,C,1.0,34,C,1.0,34, C,1.0,34, C,1.0,34, C,1.0,34, C,1.0,34,C,1.0,34, C,1.0,34, C,1.0,34, C,1.0,34,C,1.0,34,C,1.0,34,C,1.0,34, B,0.0,34,C,1.0,34, A,0.0,34, C,1.0,34,C,1.0,34,C,1.0,34,0.2537081317024625,Medium
486,id5443,"if a student wants an orange, he would have to get it from which of these?", B,1.0,17, B,1.0,17,B,1.0,17, B,1.0,17, B,1.0,17, B,1.0,17, B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17, B,1.0,17, B,1.0,17, A,0.0,17, B,1.0,17,B,1.0,17, C,0.0,17, B,1.0,17, B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17, B,1.0,17,B,1.0,17, B,1.0,17, B,1.0,17,B,1.0,17,B,1.0,17,0.2537081317024625,Medium
123,id5080,What does someone do when creating music?, D,1.0,8, D,1.0,8,D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8,D,1.0,8, C,0.0,8, D,1.0,8, D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8, D,1.0,8,D,1.0,8, B,0.0,8, D,1.0,8,D,1.0,8,D,1.0,8,0.2537081317024625,Medium
110,id5067,A seismograph can accurately describe, C,1.0,6, C,1.0,6,C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6,C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6, B,0.0,6,C,1.0,6, A,0.0,6, C,1.0,6,C,1.0,6,C,1.0,6,0.2537081317024625,Medium
483,id5440,"A pot of pasta is boiling on the stove, and the lid on top of the pot is shaking as the water boils more rapidly. A person goes to the stove and removes the pot, releasing steam into the air above, and so the steam is", B,1.0,47, B,1.0,47,B,1.0,47, B,1.0,47, B,1.0,47, B,1.0,47, B,1.0,47,B,1.0,47,B,1.0,47,B,1.0,47,B,1.0,47,B,1.0,47,B,1.0,47, B,1.0,47, B,1.0,47, A,0.0,47, B,1.0,47,B,1.0,47, C,0.0,47, B,1.0,47, B,1.0,47,B,1.0,47,B,1.0,47,B,1.0,47, B,1.0,47,B,1.0,47, B,1.0,47, B,1.0,47,B,1.0,47,B,1.0,47,0.2537081317024625,Medium
171,id5128,The boy was able to warm the fireplace without a lighter thanks to what?, A,1.0,15, A,1.0,15,A,1.0,15, A,1.0,15, A,1.0,15, A,1.0,15, A,1.0,15,A,1.0,15,A,1.0,15,A,1.0,15,A,1.0,15,A,1.0,15,A,1.0,15, A,1.0,15, A,1.0,15, A,1.0,15, A,1.0,15,A,1.0,15, A,1.0,15, A,1.0,15, A,1.0,15,A,1.0,15,A,1.0,15,A,1.0,15, B,0.0,15,A,1.0,15, D,0.0,15, A,1.0,15,A,1.0,15,A,1.0,15,0.2537081317024625,Medium
58,id5015,Owls are likely to hunt at, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, D,0.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7,B,1.0,7, C,0.0,7, B,1.0,7,B,1.0,7,B,1.0,7,0.2537081317024625,Medium
57,id5014,"A construction group wants to put a shopping center in town, but the only place available is a small nature park with a trail. Deer and other wildlife frequent the park, since it is the only place in the city where trees and fresh water are available for them. The construction group decides to build the shopping center, which means that", D,1.0,62, D,1.0,62,D,1.0,62, D,1.0,62, D,1.0,62, D,1.0,62, D,1.0,62,D,1.0,62,D,1.0,62,D,1.0,62,D,1.0,62,D,1.0,62,D,1.0,62, D,1.0,62, D,1.0,62, C,0.0,62, D,1.0,62,D,1.0,62, D,1.0,62, D,1.0,62, D,1.0,62,D,1.0,62,D,1.0,62,D,1.0,62, B,0.0,62,D,1.0,62, D,1.0,62, D,1.0,62,D,1.0,62,D,1.0,62,0.2537081317024625,Medium
182,id5139,"The Grand Canyon is massive, with large, high peaks and very deep lows, which was formed when", C,1.0,18, C,1.0,18,C,1.0,18, C,1.0,18, C,1.0,18, C,1.0,18, C,1.0,18,C,1.0,18,C,1.0,18,C,1.0,18,C,1.0,18,C,1.0,18,C,1.0,18, C,1.0,18, C,1.0,18, C,1.0,18, C,1.0,18,C,1.0,18, A,0.0,18, C,1.0,18, C,1.0,18,C,1.0,18,C,1.0,18,C,1.0,18, B,0.0,18,C,1.0,18, C,1.0,18, C,1.0,18,C,1.0,18,C,1.0,18,0.2537081317024625,Medium
286,id5243,Coral grows in, B,1.0,4, B,1.0,4,B,1.0,4, B,1.0,4, C,0.0,4, B,1.0,4, B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4, B,1.0,4, B,1.0,4, B,1.0,4, B,1.0,4,B,1.0,4, D,0.0,4, B,1.0,4, B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4, B,1.0,4,B,1.0,4, B,1.0,4, B,1.0,4,B,1.0,4,B,1.0,4,0.2537081317024625,Medium
113,id5070,Banging on a drum causes, C,1.0,6, C,1.0,6,C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6, C,1.0,6,C,1.0,6, D,0.0,6, C,1.0,6, C,1.0,6,C,1.0,6,C,1.0,6,C,1.0,6, B,0.0,6,C,1.0,6, C,1.0,6, C,1.0,6,C,1.0,6,C,1.0,6,0.2537081317024625,Medium
64,id5021,Mosquitoes enjoy all the people at a BBQ in the summer for what reason?, B,1.0,15, B,1.0,15,B,1.0,15, B,1.0,15, B,1.0,15, B,1.0,15, B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15, B,1.0,15, B,1.0,15, B,1.0,15, B,1.0,15,B,1.0,15, C,0.0,15, B,1.0,15, B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15, B,1.0,15,B,1.0,15, A,0.0,15, B,1.0,15,B,1.0,15,B,1.0,15,0.2537081317024625,Medium
372,id5329,An ideal abode for crickets is, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7,D,0.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7, A,0.0,7, C,0.0,7, B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,0.3051285766293645,Low
0,id4957,"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to", B,1.0,39, B,1.0,39,B,1.0,39, B,1.0,39, D,0.0,39, B,1.0,39, B,1.0,39,B,1.0,39,B,1.0,39,B,1.0,39,B,1.0,39,B,1.0,39,B,1.0,39, B,1.0,39, B,1.0,39, C,0.0,39, B,1.0,39,B,1.0,39, A,0.0,39, B,1.0,39, B,1.0,39,B,1.0,39,B,1.0,39,B,1.0,39, B,1.0,39,B,1.0,39, B,1.0,39, B,1.0,39,B,1.0,39,B,1.0,39,0.30512857662936455,Low
383,id5340,Two fridge decorations when touched back to back, B,0.0,9, B,0.0,9,B,0.0,9, C,0.0,9, B,0.0,9, C,0.0,9, A,1.0,9,B,0.0,9,B,0.0,9,C,0.0,9,C,0.0,9,B,0.0,9,B,0.0,9, B,0.0,9, B,0.0,9, A,1.0,9, A,1.0,9,B,0.0,9, B,0.0,9, B,0.0,9, B,0.0,9,C,0.0,9,B,0.0,9,B,0.0,9, B,0.0,9,B,0.0,9, D,0.0,9, C,0.0,9,B,0.0,9,B,0.0,9,0.30512857662936455,Low
326,id5283,A light was off because the cord was, B,0.0,9, D,0.0,9,B,0.0,9, B,0.0,9, D,0.0,9, C,0.0,9, A,1.0,9,D,0.0,9,D,0.0,9,C,0.0,9,B,0.0,9,D,0.0,9,D,0.0,9, D,0.0,9, D,0.0,9, C,0.0,9, A,1.0,9,B,0.0,9, B,0.0,9, B,0.0,9, B,0.0,9,A,1.0,9,D,0.0,9,B,0.0,9, B,0.0,9,C,0.0,9, C,0.0,9, C,0.0,9,B,0.0,9,C,0.0,9,0.3051285766293646,Low
214,id5171,"a large cluster of humans, dogs, apple trees, atmosphere and more can be called", B,1.0,15, B,1.0,15,B,1.0,15, B,1.0,15, B,1.0,15, B,1.0,15, B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15, B,1.0,15, B,1.0,15, C,0.0,15, B,1.0,15,B,1.0,15, D,0.0,15, B,1.0,15, B,1.0,15,B,1.0,15,B,1.0,15,B,1.0,15, B,1.0,15,B,1.0,15, A,0.0,15, B,1.0,15,B,1.0,15,B,1.0,15,0.30512857662936466,Low
289,id5246,Building new areas to dispose of refuse may lead to, A,1.0,11, A,1.0,11,A,1.0,11, A,1.0,11, B,0.0,11, A,1.0,11, A,1.0,11,A,1.0,11,A,1.0,11,A,1.0,11,A,1.0,11,A,1.0,11,A,1.0,11, A,1.0,11, A,1.0,11, A,1.0,11, A,1.0,11,A,1.0,11, A,1.0,11, A,1.0,11, B,0.0,11,A,1.0,11,A,1.0,11,A,1.0,11, B,0.0,11,A,1.0,11, A,1.0,11, A,1.0,11,A,1.0,11,A,1.0,11,0.30512857662936466,Low
129,id5086,The viewing oriented sensor of a prairie creature are for what?, C,1.0,12, C,1.0,12,C,1.0,12, C,1.0,12, C,1.0,12, B,0.0,12, C,1.0,12,C,1.0,12,C,1.0,12,C,1.0,12,C,1.0,12,C,1.0,12,C,1.0,12, C,1.0,12, C,1.0,12, C,1.0,12, C,1.0,12,C,1.0,12, C,1.0,12, C,1.0,12, C,1.0,12,C,1.0,12,C,1.0,12,C,1.0,12, B,0.0,12,C,1.0,12, A,0.0,12, C,1.0,12,C,1.0,12,C,1.0,12,0.30512857662936466,Low
165,id5122,why do tadpoles change into frogs?, C,1.0,7, C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, D,0.0,7, C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7, A,0.0,7,C,1.0,7, D,0.0,7, C,1.0,7,C,1.0,7,C,1.0,7,0.30512857662936466,Low
