,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
20,id14,Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,B,0.0, A,0.0, D,0.0,A,0.0,B,0.0, B,0.0,B,0.0,A,0.0, B,0.0,A,0.0, A,0.0,A,0.0, A,0.0, A,0.0,A,0.0, B,0.0, A,0.0,C,1.0,A,0.0,A,0.0, A,0.0, C,1.0, A,0.0,C,1.0, B,0.0,0.30512857662936466,Low
32,id26,"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.","True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,D,0.0, D,0.0, A,0.0,B,0.0,D,0.0, B,0.0,B,0.0,B,0.0, B,0.0,A,0.0, D,0.0,D,0.0, A,0.0, A,0.0,B,0.0, C,1.0, A,0.0,C,1.0,A,0.0,A,0.0, A,0.0, B,0.0, A,0.0,C,1.0, B,0.0,0.30512857662936466,Low
29,id23,Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True (correct)",C,0.0, B,0.0, B,0.0,A,0.0, C,0.0,D,1.0, A,0.0, A,0.0,A,0.0,B,0.0, B,0.0,B,0.0,A,0.0, B,0.0,C,0.0, D,1.0,B,0.0, C,0.0, C,0.0,A,0.0, C,0.0, C,0.0,C,0.0,C,0.0,C,0.0, C,0.0, D,1.0, A,0.0,A,0.0, B,0.0,0.30512857662936466,Low
64,id57,Find the characteristic of the ring Z_3 x 3Z.,0 (correct)SALILSPLITCHECK3SALILSPLITCHECK12SALILSPLITCHECK30,B,0.0, B,0.0, B,0.0,B,0.0, B,0.0,B,0.0, B,0.0, B,0.0,B,0.0,B,0.0, B,0.0,B,0.0,B,0.0, C,0.0,B,0.0, A,1.0,A,1.0, B,0.0, B,0.0,B,0.0, B,0.0, B,0.0,B,0.0,B,0.0,B,0.0, B,0.0, B,0.0, B,0.0,B,0.0, A,1.0,0.30512857662936466,Low
23,id17,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8SALILSPLITCHECK2SALILSPLITCHECK24 (correct)SALILSPLITCHECK120,B,0.0, B,0.0, B,0.0,A,0.0, A,0.0,D,0.0, B,0.0, D,0.0,A,0.0,B,0.0, B,0.0,B,0.0,A,0.0, A,0.0,C,1.0, A,0.0,C,1.0, A,0.0, B,0.0,C,1.0, B,0.0, B,0.0,C,1.0,B,0.0,To,0.0, A,0.0, B,0.0, B,0.0,A,0.0, B,0.0,0.34574590364176044,Low
79,id70,Find the degree for the given field extension Q(sqrt(2)) over Q.,0SALILSPLITCHECK2 (correct)SALILSPLITCHECK1SALILSPLITCHECK3,B,1.0, B,1.0, B,1.0,B,1.0, B,1.0,C,0.0, B,1.0, B,1.0,B,1.0,B,1.0, B,1.0,B,1.0,B,1.0, D,0.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, D,0.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, C,0.0,B,1.0, B,1.0,0.34574590364176044,Low
98,id88,"Using Fermat's theorem, find the remainder of 3^47 when it is divided by 23.",1SALILSPLITCHECK2SALILSPLITCHECK3SALILSPLITCHECK4 (correct),A,0.0, A,0.0, A,0.0,A,0.0, A,0.0,D,1.0, A,0.0, A,0.0,A,0.0,D,1.0, B,0.0,B,0.0,D,1.0, C,0.0,A,0.0, A,0.0,C,0.0, A,0.0, A,0.0,A,0.0, B,0.0, D,1.0,A,0.0,A,0.0,To,0.0, A,0.0, A,0.0, A,0.0,A,0.0, C,0.0,0.3457459036417605,Low
76,id68,"In the group G = {2, 4, 6, 8) under multiplication modulo 10, the identity element is",6 (correct)SALILSPLITCHECK8SALILSPLITCHECK4SALILSPLITCHECK2,D,0.0, D,0.0, A,1.0,A,1.0, D,0.0,B,0.0, B,0.0, A,1.0,D,0.0,D,0.0, B,0.0,B,0.0,A,1.0, C,0.0,B,0.0, D,0.0,C,0.0, D,0.0, B,0.0,C,0.0, C,0.0, C,0.0,C,0.0,D,0.0,The,0.0, D,0.0, D,0.0, D,0.0,C,0.0, D,0.0,0.3457459036417605,Low
93,id83,"A subset H of a group (G,*) is a group if","a,b in H=> a * b in HSALILSPLITCHECKa in H => a^-1 in HSALILSPLITCHECKa,b in H=> a * b^-1 in H (correct)SALILSPLITCHECKH contains the identity element",A,0.0, D,0.0, A,0.0,A,0.0, A,0.0,B,0.0, D,0.0, A,0.0,D,0.0,D,0.0, A,0.0,D,0.0,D,0.0, C,1.0,D,0.0, A,0.0,C,1.0, C,1.0, A,0.0,A,0.0, A,0.0, D,0.0,A,0.0,A,0.0,The,0.0, C,1.0, D,0.0, D,0.0,A,0.0, D,0.0,0.3457459036417605,Low
16,id114,"The element (4, 2) of Z_12 x Z_8 has order",4SALILSPLITCHECK8SALILSPLITCHECK12 (correct)SALILSPLITCHECK6,D,0.0, D,0.0, B,0.0,D,0.0, C,1.0,D,0.0, D,0.0, C,1.0,A,0.0,B,0.0, B,0.0,D,0.0,B,0.0, C,1.0,C,1.0, D,0.0,D,0.0, D,0.0, D,0.0,D,0.0, D,0.0, D,0.0,D,0.0,D,0.0,A,0.0, D,0.0, B,0.0, D,0.0,D,0.0, D,0.0,0.3457459036417605,Low
65,id58,Statement 1 | Some abelian group of order 45 has a subgroup of order 10. Statement 2 | A subgroup H of a group G is a normal subgroup if and only if thenumber of left cosets of H is equal to the number of right cosets of H.,"True, TrueSALILSPLITCHECKFalse, False (correct)SALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True",A,0.0, B,1.0, B,1.0,A,0.0, A,0.0,D,0.0, D,0.0, C,0.0,A,0.0,D,0.0, B,1.0,B,1.0,A,0.0, A,0.0,D,0.0, D,0.0,D,0.0, D,0.0, A,0.0,A,0.0, C,0.0, A,0.0,C,0.0,A,0.0,D,0.0, D,0.0, C,0.0, A,0.0,A,0.0, B,1.0,0.3790490217894516,Low
52,id46,"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.","True, TrueSALILSPLITCHECKFalse, False (correct)SALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True",A,0.0, B,1.0, B,1.0,A,0.0, D,0.0,D,0.0, D,0.0, A,0.0,B,1.0,D,0.0, B,1.0,A,0.0,A,0.0, A,0.0,D,0.0, A,0.0,A,0.0, D,0.0, A,0.0,A,0.0, D,0.0, C,0.0,C,0.0,A,0.0,D,0.0, D,0.0, C,0.0, D,0.0,C,0.0, B,1.0,0.3790490217894516,Low
36,id30,Find the maximum possible order for an element of S_n for n = 10.,6SALILSPLITCHECK12SALILSPLITCHECK30 (correct)SALILSPLITCHECK105,B,0.0, D,0.0, D,0.0,D,0.0, D,0.0,D,0.0, B,0.0, C,1.0,C,1.0,D,0.0, B,0.0,B,0.0,B,0.0, A,0.0,C,1.0, D,0.0,D,0.0, D,0.0, D,0.0,D,0.0, C,1.0, D,0.0,D,0.0,D,0.0,C,1.0, D,0.0, D,0.0, D,0.0,D,0.0, B,0.0,0.3790490217894516,Low
35,id29,The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,(x − 2)(x + 2)(x − 1)SALILSPLITCHECK(x + 1)(x + 4)(x − 2)SALILSPLITCHECK(x + 1)(x − 4)(x − 2) (correct)SALILSPLITCHECK(x - 1)(x − 4)(x − 2),D,0.0, B,0.0, D,0.0,C,1.0, C,1.0,A,0.0, B,0.0, A,0.0,A,0.0,A,0.0, B,0.0,D,0.0,A,0.0, D,0.0,B,0.0, D,0.0,C,1.0, D,0.0, D,0.0,D,0.0, C,1.0, D,0.0,D,0.0,D,0.0,To,0.0, D,0.0, D,0.0, C,1.0,A,0.0, B,0.0,0.3790490217894516,Low
56,id5,The cyclic subgroup of Z_24 generated by 18 has order,4 (correct)SALILSPLITCHECK8SALILSPLITCHECK12SALILSPLITCHECK6,B,0.0, C,0.0, B,0.0,B,0.0, C,0.0,B,0.0, B,0.0, A,1.0,A,1.0,D,0.0, B,0.0,B,0.0,B,0.0, A,1.0,A,1.0, D,0.0,C,0.0, D,0.0, D,0.0,B,0.0, D,0.0, B,0.0,B,0.0,A,1.0,The,0.0, D,0.0, D,0.0, D,0.0,D,0.0, B,0.0,0.3790490217894517,Low
53,id47,"If (G, .) is a group such that (ab)^-1 = a^-1b^-1, for all a, b in G, then G is a/an",commutative semi groupSALILSPLITCHECKabelian group (correct)SALILSPLITCHECKnon-abelian groupSALILSPLITCHECKNone of these,B,1.0, B,1.0, B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, A,0.0,B,1.0,B,1.0, B,1.0,B,1.0,B,1.0, D,0.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, D,0.0, B,1.0,B,1.0, D,0.0,0.3790490217894517,Low
91,id81,Statement 1 | Every field is also a ring. Statement 2 | Every ring has a multiplicative identity.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, A,0.0, B,0.0,A,0.0, C,1.0,A,0.0, A,0.0, A,0.0,A,0.0,A,0.0, B,0.0,B,0.0,A,0.0, B,0.0,C,1.0, A,0.0,D,0.0, A,0.0, A,0.0,A,0.0, C,1.0, A,0.0,A,0.0,A,0.0,C,1.0, A,0.0, C,1.0, A,0.0,A,0.0, B,0.0,0.3790490217894517,Low
87,id78,Statement 1 | Every quotient ring of every commutative ring is again a commutative ring. Statement 2 | An ideal N in a ring R with unity 1 is all of R if and only if 1 in N.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,D,0.0, D,0.0, B,0.0,A,0.0,D,0.0, B,0.0,A,0.0,A,0.0, D,0.0,A,0.0, D,0.0,C,1.0, C,1.0, A,0.0,A,0.0, B,0.0, A,0.0,C,1.0,A,0.0,A,0.0, C,1.0, C,1.0, A,0.0,A,0.0, B,0.0,0.3790490217894517,Low
7,id106,Statement 1 | If a finite group has order n then the group contains a subgroup of order d for every positive divisor d of n. Statement 2 | If a belongs to a finite group then |a| divides |G|.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True (correct)",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,D,1.0, A,0.0, A,0.0,A,0.0,B,0.0, B,0.0,B,0.0,A,0.0, A,0.0,D,1.0, A,0.0,C,0.0, D,1.0, A,0.0,A,0.0, C,0.0, A,0.0,A,0.0,A,0.0,D,1.0, D,1.0, C,0.0, A,0.0,A,0.0, C,0.0,0.3790490217894517,Low
60,id53,Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. x^2 - 12,"Yes, with p=2.SALILSPLITCHECKYes, with p=3. (correct)SALILSPLITCHECKYes, with p=5.SALILSPLITCHECKNo.",B,1.0, A,0.0, A,0.0,D,0.0, D,0.0,D,0.0, B,1.0, C,0.0,A,0.0,D,0.0, B,1.0,A,0.0,A,0.0, A,0.0,D,0.0, D,0.0,D,0.0, D,0.0, B,1.0,C,0.0, C,0.0, D,0.0,D,0.0,B,1.0,D,0.0, D,0.0, D,0.0, B,1.0,A,0.0, D,0.0,0.4068381021724863,Low
46,id40,"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.","True, TrueSALILSPLITCHECKFalse, False (correct)SALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True",A,0.0, B,1.0, B,1.0,A,0.0, A,0.0,B,1.0, B,1.0, A,0.0,A,0.0,D,0.0, B,1.0,B,1.0,A,0.0, C,0.0,A,0.0, D,0.0,C,0.0, A,0.0, A,0.0,A,0.0, D,0.0, A,0.0,C,0.0,A,0.0,A,0.0, A,0.0, C,0.0, A,0.0,A,0.0, C,0.0,0.4068381021724863,Low
14,id112,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^2 + 1 in Z_2,"0SALILSPLITCHECK1 (correct)SALILSPLITCHECK0,1SALILSPLITCHECK2",C,0.0, C,0.0, A,0.0,C,0.0, C,0.0,C,0.0, C,0.0, C,0.0,B,1.0,D,0.0, B,1.0,C,0.0,B,1.0, C,0.0,B,1.0, C,0.0,B,1.0, C,0.0, C,0.0,C,0.0, C,0.0, C,0.0,C,0.0,C,0.0,B,1.0, C,0.0, C,0.0, C,0.0,C,0.0, C,0.0,0.4068381021724863,Low
12,id110,Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True (correct)",C,0.0, B,0.0, B,0.0,A,0.0, A,0.0,B,0.0, B,0.0, A,0.0,A,0.0,B,0.0, B,0.0,B,0.0,A,0.0, B,0.0,D,1.0, A,0.0,D,1.0, D,1.0, A,0.0,A,0.0, C,0.0, A,0.0,C,0.0,C,0.0,D,1.0, D,1.0, C,0.0, D,1.0,C,0.0, B,0.0,0.4068381021724863,Low
57,id50,"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.","True, True (correct)SALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True",A,1.0, B,0.0, B,0.0,C,0.0, D,0.0,D,0.0, D,0.0, A,1.0,B,0.0,D,0.0, B,0.0,A,1.0,A,1.0, D,0.0,D,0.0, D,0.0,D,0.0, D,0.0, C,0.0,C,0.0, C,0.0, A,1.0,C,0.0,A,1.0,B,0.0, D,0.0, D,0.0, D,0.0,C,0.0, B,0.0,0.4068381021724863,Low
8,id107,Find all cosets of the subgroup 4Z of 2Z.,"4ZSALILSPLITCHECK4Z, 2 + 4Z (correct)SALILSPLITCHECK2ZSALILSPLITCHECKZ",B,1.0, B,1.0, A,0.0,B,1.0, B,1.0,B,1.0, B,1.0, A,0.0,B,1.0,B,1.0, A,0.0,B,1.0,B,1.0, C,0.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, C,0.0, B,1.0,B,1.0,A,0.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0,0.4068381021724863,Low
6,id105,Statement 1 | Every permutation is a one-to-one function. Statement 2 | Every function is a permutation if and only if it is one to one.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, A,0.0,A,0.0, A,0.0,A,0.0, B,0.0, C,1.0,A,0.0,D,0.0, B,0.0,B,0.0,D,0.0, B,0.0,C,1.0, D,0.0,D,0.0, C,1.0, A,0.0,A,0.0, B,0.0, A,0.0,C,1.0,A,0.0,C,1.0, C,1.0, B,0.0, A,0.0,A,0.0, A,0.0,0.4068381021724863,Low
106,id95,"Statement 1 | If K is a nonzero subgroup of a finitely generated free abelian group, then K is free abelian. Statement 2 | If K is a nonzero subgroup of a finitely generated free abelian group, then G / K is free abelian.","True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,D,0.0, A,0.0, D,0.0,C,1.0,D,0.0, B,0.0,A,0.0,A,0.0, B,0.0,C,1.0, A,0.0,B,0.0, A,0.0, C,1.0,A,0.0, B,0.0, A,0.0,C,1.0,A,0.0,C,1.0, A,0.0, C,1.0, D,0.0,A,0.0, B,0.0,0.4068381021724863,Low
103,id92,"Statement 1 | S_n is non-Abelian for all n >= 3. Statement 2 | If a is a permutation that is an m-cycle and b is a permutation that is an n-cycle, then |ab| = lcm(m,n).","True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,A,0.0, D,0.0, B,0.0,A,0.0,D,0.0, B,0.0,A,0.0,A,0.0, C,1.0,C,1.0, D,0.0,D,0.0, A,0.0, D,0.0,C,1.0, C,1.0, A,0.0,C,1.0,A,0.0,C,1.0, A,0.0, A,0.0, A,0.0,A,0.0, D,0.0,0.4068381021724863,Low
38,id32,"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",1SALILSPLITCHECK-1SALILSPLITCHECKi (correct)SALILSPLITCHECK-i,D,0.0, D,0.0, B,0.0,C,1.0, C,1.0,B,0.0, D,0.0, A,0.0,C,1.0,D,0.0, B,0.0,D,0.0,B,0.0, A,0.0,C,1.0, D,0.0,C,1.0, D,0.0, D,0.0,D,0.0, D,0.0, D,0.0,D,0.0,D,0.0,C,1.0, D,0.0, D,0.0, D,0.0,D,0.0, D,0.0,0.4068381021724863,Low
74,id66,Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True (correct)",C,0.0, B,0.0, B,0.0,D,1.0, B,0.0,D,1.0, D,1.0, B,0.0,B,0.0,D,1.0, A,0.0,B,0.0,A,0.0, C,0.0,D,1.0, A,0.0,D,1.0, B,0.0, B,0.0,B,0.0, C,0.0, A,0.0,C,0.0,C,0.0,D,1.0, B,0.0, C,0.0, B,0.0,C,0.0, C,0.0,0.4301830671520761,Low
99,id89,Find the characteristic of the ring Z_3 x Z_3.,0SALILSPLITCHECK3 (correct)SALILSPLITCHECK12SALILSPLITCHECK30,B,1.0, B,1.0, B,1.0,A,0.0, A,0.0,B,1.0, B,1.0, A,0.0,B,1.0,B,1.0, B,1.0,B,1.0,B,1.0, D,0.0,B,1.0, A,0.0,A,0.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, A,0.0,0.4301830671520762,Low
1,id100,"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function g must necessarily be injective. Statement 2 | The function g must necessarily be surjective.","True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True (correct)",C,0.0, B,0.0, A,0.0,A,0.0, A,0.0,D,1.0, B,0.0, A,0.0,C,0.0,D,1.0, B,0.0,B,0.0,A,0.0, A,0.0,D,1.0, D,1.0,D,1.0, C,0.0, C,0.0,A,0.0, D,1.0, C,0.0,C,0.0,C,0.0,C,0.0, C,0.0, D,1.0, C,0.0,C,0.0, B,0.0,0.4301830671520762,Low
