,instance_id,input.text,predicted_text_0,stats.quasi_exact_match_0,num_words_0,predicted_text_1,stats.quasi_exact_match_1,num_words_1,predicted_text_2,stats.quasi_exact_match_2,num_words_2,predicted_text_3,stats.quasi_exact_match_3,num_words_3,predicted_text_4,stats.quasi_exact_match_4,num_words_4,predicted_text_5,stats.quasi_exact_match_5,num_words_5,predicted_text_6,stats.quasi_exact_match_6,num_words_6,predicted_text_7,stats.quasi_exact_match_7,num_words_7,predicted_text_8,stats.quasi_exact_match_8,num_words_8,predicted_text_9,stats.quasi_exact_match_9,num_words_9,predicted_text_10,stats.quasi_exact_match_10,num_words_10,predicted_text_11,stats.quasi_exact_match_11,num_words_11,predicted_text_12,stats.quasi_exact_match_12,num_words_12,predicted_text_13,stats.quasi_exact_match_13,num_words_13,predicted_text_14,stats.quasi_exact_match_14,num_words_14,predicted_text_15,stats.quasi_exact_match_15,num_words_15,predicted_text_16,stats.quasi_exact_match_16,num_words_16,predicted_text_17,stats.quasi_exact_match_17,num_words_17,predicted_text_18,stats.quasi_exact_match_18,num_words_18,predicted_text_19,stats.quasi_exact_match_19,num_words_19,predicted_text_20,stats.quasi_exact_match_20,num_words_20,predicted_text_21,stats.quasi_exact_match_21,num_words_21,predicted_text_22,stats.quasi_exact_match_22,num_words_22,predicted_text_23,stats.quasi_exact_match_23,num_words_23,predicted_text_24,stats.quasi_exact_match_24,num_words_24,predicted_text_25,stats.quasi_exact_match_25,num_words_25,predicted_text_26,stats.quasi_exact_match_26,num_words_26,predicted_text_27,stats.quasi_exact_match_27,num_words_27,predicted_text_28,stats.quasi_exact_match_28,num_words_28,predicted_text_29,stats.quasi_exact_match_29,num_words_29,std,agreement_level
67,id74,"Description: The mark ""Amazon"" for an online shopping service.", arbitrary,1.0,10,arbitrary,1.0,10,arbitrary,1.0,10,arbitrary,1.0,10, arbitrary,1.0,10,arbitrary,1.0,10, arbitrary,1.0,10,arbitrary,1.0,10, arbitrary ,1.0,10, arbitrary,1.0,10,fanciful,0.0,10,arbitrary,1.0,10,arbitrary,1.0,10, arbitrary,1.0,10, descriptive,0.0,10, arbitrary,1.0,10, arbitrary,1.0,10, arbitrary,1.0,10, arbitrary,1.0,10, descriptive,0.0,10,arbitrary,1.0,10,arbitrary,1.0,10, arbitrary,1.0,10,suggestive,0.0,10,arbitrary,1.0,10, arbitrary,1.0,10,Type: arbitrary,0.0,11,arbitrary,1.0,10, suggestive,0.0,10, arbitrary,1.0,10,0.4068381021724863,Low
73,id8,"Description: The mark ""Food"" for a restaurant.", generic,1.0,8,generic,1.0,8,generic,1.0,8,generic,1.0,8, generic,1.0,8,generic,1.0,8, generic,1.0,8,generic,1.0,8, generic ,1.0,8, generic,1.0,8,generic,1.0,8,generic,1.0,8,generic,1.0,8, generic,1.0,8, descriptive,0.0,8, generic,1.0,8, descriptive,0.0,8, descriptive,0.0,8, generic,1.0,8, descriptive,0.0,8,generic,1.0,8,generic,1.0,8, generic,1.0,8,generic,1.0,8,generic,1.0,8, generic,1.0,8,generic,1.0,8,descriptive,0.0,8, generic,1.0,8, descriptive,0.0,8,0.4068381021724863,Low
33,id43,"Description: The mark ""Chicken of the Sea"" for canned fish.", suggestive,1.0,11,fanciful,0.0,11,descriptive,0.0,11,slogan,0.0,11, fanciful,0.0,11,suggestive,1.0,11, descriptive,0.0,11,arbitrary,0.0,11, generic ,0.0,11, suggestive,1.0,11,fanciful,0.0,11,suggestive,1.0,11,suggestive,1.0,11, fanciful,0.0,11, descriptive,0.0,11, fanciful,0.0,11, fanciful,0.0,11, descriptive,0.0,11, generic,0.0,11, descriptive,0.0,11,generic,0.0,11,arbitrary,0.0,11, fanciful,0.0,11,descriptive,0.0,11,fanciful,0.0,11, fanciful,0.0,11,Type: suggestive,0.0,12,suggestive,1.0,11, generic,0.0,11, fanciful,0.0,11,0.4068381021724863,Low
74,id80,"Description: The mark ""Fever"" for washing detergent.", suggestive,0.0,8,suggestive,0.0,8,suggestive,0.0,8,arbitrary,1.0,8, arbitrary,1.0,8,suggestive,0.0,8, descriptive,0.0,8,suggestive,0.0,8, arbitrary ,1.0,8, suggestive,0.0,8,suggestive,0.0,8,suggestive,0.0,8,arbitrary,1.0,8, descriptive,0.0,8, descriptive,0.0,8, suggestive,0.0,8, descriptive,0.0,8, suggestive,0.0,8, arbitrary,1.0,8, descriptive,0.0,8,arbitrary,1.0,8,suggestive,0.0,8, suggestive,0.0,8,suggestive,0.0,8,suggestive,0.0,8, fanciful,0.0,8,Type: arbitrary,0.0,9,suggestive,0.0,8, suggestive,0.0,8, suggestive,0.0,8,0.4068381021724863,Low
26,id36,"Description: The mark ""Best Washing"" for a laundromat.", descriptive,1.0,9,descriptive,1.0,9,descriptive,1.0,9,arbitrary,0.0,9, suggestive,0.0,9,descriptive,1.0,9, descriptive,1.0,9,descriptive,1.0,9, arbitrary ,0.0,9, suggestive,0.0,9,descriptive,1.0,9,descriptive,1.0,9,descriptive,1.0,9, descriptive,1.0,9, descriptive,1.0,9, descriptive,1.0,9, descriptive,1.0,9, descriptive,1.0,9, descriptive,1.0,9, descriptive,1.0,9,generic,0.0,9,descriptive,1.0,9, descriptive,1.0,9,descriptive,1.0,9,descriptive,1.0,9, descriptive,1.0,9,descriptive,1.0,9,descriptive,1.0,9, suggestive,0.0,9, descriptive,1.0,9,0.4068381021724863,Low
47,id56,"Description: The mark ""Equine Technologies"" for horse hoof pads.", arbitrary,0.0,10,descriptive,0.0,10,descriptive,0.0,10,arbitrary,0.0,10, suggestive,1.0,10,suggestive,1.0,10, descriptive,0.0,10,arbitrary,0.0,10, suggestive,1.0,10, suggestive,1.0,10,arbitrary,0.0,10,descriptive,0.0,10,descriptive,0.0,10, suggestive,1.0,10, descriptive,0.0,10, descriptive,0.0,10, descriptive,0.0,10, descriptive,0.0,10, descriptive,0.0,10, descriptive,0.0,10,arbitrary,0.0,10,descriptive,0.0,10, descriptive,0.0,10,descriptive,0.0,10,descriptive,0.0,10, fanciful,0.0,10,Type: descriptive,0.0,11,suggestive,1.0,10, arbitrary,0.0,10, fanciful,0.0,10,0.4068381021724863,Low
10,id20,"Description: The mark ""Fruit"" for apples.", generic,1.0,7,generic,1.0,7,generic,1.0,7,generic,1.0,7, generic,1.0,7,generic,1.0,7, generic,1.0,7,generic,1.0,7, generic ,1.0,7, suggestive,0.0,7,generic,1.0,7,generic,1.0,7,generic,1.0,7, descriptive,0.0,7, descriptive,0.0,7, generic,1.0,7, descriptive,0.0,7, generic,1.0,7, generic,1.0,7, descriptive,0.0,7,generic,1.0,7,generic,1.0,7, generic,1.0,7,generic,1.0,7,generic,1.0,7, generic,1.0,7,Type: generic,0.0,8,generic,1.0,7, generic,1.0,7, generic,1.0,7,0.4068381021724863,Low
42,id51,"Description: The mark ""Citibank"" for urban financial services.", suggestive,1.0,9,fanciful,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9, arbitrary,0.0,9,arbitrary,0.0,9, arbitrary,0.0,9,arbitrary,0.0,9, arbitrary ,0.0,9, arbitrary,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9,suggestive,1.0,9, arbitrary,0.0,9, descriptive,0.0,9, suggestive,1.0,9, arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, descriptive,0.0,9,arbitrary,0.0,9,fanciful,0.0,9, suggestive,1.0,9,arbitrary,0.0,9,suggestive,1.0,9, arbitrary,0.0,9,Type: arbitrary,0.0,10,suggestive,1.0,9, arbitrary,0.0,9, arbitrary,0.0,9,0.40683810217248634,Low
56,id64,"Description: The mark ""Lotus"" for software.", arbitrary,1.0,7,arbitrary,1.0,7,arbitrary,1.0,7,arbitrary,1.0,7, arbitrary,1.0,7,fanciful,0.0,7, arbitrary,1.0,7,arbitrary,1.0,7, suggestive ,0.0,7, suggestive,0.0,7,arbitrary,1.0,7,arbitrary,1.0,7,arbitrary,1.0,7, arbitrary,1.0,7, descriptive,0.0,7, arbitrary,1.0,7, fanciful,0.0,7, fanciful,0.0,7, arbitrary,1.0,7, descriptive,0.0,7,arbitrary,1.0,7,arbitrary,1.0,7, arbitrary,1.0,7,arbitrary,1.0,7,arbitrary,1.0,7, arbitrary,1.0,7,arbitrary,1.0,7,arbitrary,1.0,7, arbitrary,1.0,7, arbitrary,1.0,7,0.4301830671520762,Low
14,id24,Description: The mark “Sharp” for a television., arbitrary,0.0,8,descriptive,1.0,8,suggestive,0.0,8,arbitrary,0.0,8, arbitrary,0.0,8,arbitrary,0.0,8, descriptive,1.0,8,suggestive,0.0,8, suggestive ,0.0,8, suggestive,0.0,8,arbitrary,0.0,8,arbitrary,0.0,8,suggestive,0.0,8, arbitrary,0.0,8, descriptive,1.0,8, suggestive,0.0,8, descriptive,1.0,8, descriptive,1.0,8, arbitrary,0.0,8, descriptive,1.0,8,arbitrary,0.0,8,descriptive,1.0,8, suggestive,0.0,8,suggestive,0.0,8,suggestive,0.0,8, arbitrary,0.0,8,Type: suggestive,0.0,9,arbitrary,0.0,8, suggestive,0.0,8, suggestive,0.0,8,0.4301830671520762,Low
82,id88,"Description: The mark ""Yoddles"" for a chocolate candy.", fanciful,1.0,9,fanciful,1.0,9,fanciful,1.0,9,fanciful,1.0,9, fanciful,1.0,9,fanciful,1.0,9, descriptive,0.0,9,fanciful,1.0,9, arbitrary ,0.0,9, fanciful,1.0,9,fanciful,1.0,9,arbitrary,0.0,9,fanciful,1.0,9, fanciful,1.0,9, descriptive,0.0,9, fanciful,1.0,9, fanciful,1.0,9, fanciful,1.0,9, arbitrary,0.0,9, descriptive,0.0,9,arbitrary,0.0,9,fanciful,1.0,9, fanciful,1.0,9,fanciful,1.0,9,fanciful,1.0,9, fanciful,1.0,9,fanciful,1.0,9,fanciful,1.0,9, fanciful,1.0,9, fanciful,1.0,9,0.43018306715207627,Low
62,id7,"Description: The mark ""Telephone"" for a portable device you can use to call people.", generic,1.0,15,generic,1.0,15,generic,1.0,15,generic,1.0,15, generic,1.0,15,generic,1.0,15, generic,1.0,15,generic,1.0,15, arbitrary ,0.0,15, generic,1.0,15,generic,1.0,15,generic,1.0,15,generic,1.0,15, generic,1.0,15, descriptive,0.0,15, generic,1.0,15, descriptive,0.0,15, descriptive,0.0,15, generic,1.0,15, descriptive,0.0,15,arbitrary,0.0,15,generic,1.0,15, generic,1.0,15,generic,1.0,15,generic,1.0,15, generic,1.0,15,generic,1.0,15,generic,1.0,15, generic,1.0,15, descriptive,0.0,15,0.43018306715207627,Low
41,id50,"Description: The mark ""Greyhound"" for a high speed bus service.", suggestive,1.0,11,arbitrary,0.0,11,arbitrary,0.0,11,arbitrary,0.0,11, suggestive,1.0,11,suggestive,1.0,11, descriptive,0.0,11,arbitrary,0.0,11, suggestive ,1.0,11, arbitrary,0.0,11,arbitrary,0.0,11,arbitrary,0.0,11,arbitrary,0.0,11, arbitrary,0.0,11, descriptive,0.0,11, suggestive,1.0,11, descriptive,0.0,11, arbitrary,0.0,11, descriptive,0.0,11, descriptive,0.0,11,arbitrary,0.0,11,arbitrary,0.0,11, suggestive,1.0,11,descriptive,0.0,11,arbitrary,0.0,11, generic,0.0,11,Type: arbitrary,0.0,12,suggestive,1.0,11, fanciful,0.0,11, arbitrary,0.0,11,0.43018306715207627,Low
21,id31,"Description: The mark ""Soft"" for pillows.", descriptive,1.0,7,descriptive,1.0,7,descriptive,1.0,7,descriptive,1.0,7," Description: The mark ""Soft"" for pillows.",0.0,12,descriptive,1.0,7, descriptive,1.0,7,descriptive,1.0,7, arbitrary ,0.0,7, suggestive,0.0,7,descriptive,1.0,7,descriptive,1.0,7,descriptive,1.0,7, descriptive,1.0,7, descriptive,1.0,7, descriptive,1.0,7, descriptive,1.0,7, descriptive,1.0,7, descriptive,1.0,7, descriptive,1.0,7,arbitrary,0.0,7,descriptive,1.0,7, descriptive,1.0,7,descriptive,1.0,7,descriptive,1.0,7, descriptive,1.0,7,Type: descriptive,0.0,8,descriptive,1.0,7, suggestive,0.0,7, suggestive,0.0,7,0.4301830671520764,Low
17,id27,"Description: The mark ""Cold and Creamy"" for ice cream desserts.", descriptive,1.0,11,descriptive,1.0,11,descriptive,1.0,11,suggestive,0.0,11, descriptive,1.0,11,descriptive,1.0,11, descriptive,1.0,11,descriptive,1.0,11, suggestive ,0.0,11, suggestive,0.0,11,suggestive,0.0,11,descriptive,1.0,11,descriptive,1.0,11, descriptive,1.0,11, descriptive,1.0,11, descriptive,1.0,11, descriptive,1.0,11, descriptive,1.0,11, descriptive,1.0,11, descriptive,1.0,11,arbitrary,0.0,11,descriptive,1.0,11, descriptive,1.0,11,descriptive,1.0,11,descriptive,1.0,11, descriptive,1.0,11,descriptive,1.0,11,suggestive,0.0,11, suggestive,0.0,11, descriptive,1.0,11,0.4301830671520764,Low
